,base_market,quote_market,hedge_ratio,half_life
0,MATIC-USD,TRX-USD,7.092179255268022,4.0
1,MATIC-USD,CRV-USD,1.7199918822287503,4.0
2,MATIC-USD,NEAR-USD,0.275226480436098,8.0
3,MATIC-USD,ENJ-USD,2.770850371112717,15.0
4,MATIC-USD,ZRX-USD,2.7298519817643054,3.0
5,MATIC-USD,SNX-USD,0.2561575730542649,7.0
6,MATIC-USD,EOS-USD,1.2294681497067954,4.0
7,CRV-USD,SUSHI-USD,0.3998769530366945,5.0
8,NEAR-USD,ZRX-USD,9.893712480720817,12.0
9,DOT-USD,BTC-USD,0.000146510053065138,1.0
10,DOT-USD,SNX-USD,2.0584945274556348,10.0
11,DOT-USD,XLM-USD,66.91658404818868,9.0
12,DOT-USD,ATOM-USD,0.745796266468858,4.0
13,DOT-USD,LTC-USD,0.10950825805086814,12.0
14,BTC-USD,ENJ-USD,151671.3154622885,1.0
15,BTC-USD,XLM-USD,455108.41901514115,1.0
16,BTC-USD,ATOM-USD,5074.1436797485185,1.0
17,BTC-USD,LTC-USD,745.1852974260149,1.0
18,1INCH-USD,ENJ-USD,1.3319073716367857,19.0
19,1INCH-USD,EOS-USD,0.590618871540531,10.0
20,ENJ-USD,LTC-USD,0.0048985287539398065,23.0
21,ZRX-USD,ATOM-USD,0.033991662319772055,9.0
22,SUSHI-USD,UNI-USD,0.15471700555965187,7.0
23,SNX-USD,EOS-USD,4.794480698358262,9.0
24,SNX-USD,ATOM-USD,0.3619737295063987,8.0
25,ETH-USD,XLM-USD,25411.0075249812,1.0
26,ETH-USD,EOS-USD,3752.4147987739448,1.0
27,ETH-USD,LTC-USD,41.595643781289965,1.0
28,XLM-USD,ATOM-USD,0.011139807140470531,14.0
